Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
BRR102,BRR102,brr.local,"February 19, 2021 7:04:16 AM","BRR\robert.connally (Since: Sep 10, 2020 9:07:36 AM)","February 19, 2021 4:00:59 AM",12.229.222.18/192.168.0.128;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,2Q47RD2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,TOSHIBA THNSNK256GCS8 SATA 256GB (238GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,18:66:DA:34:FA:37 (Primary),0,0,0,0,1,0,0,1,0,11
BRR103,BRR103,brr.local,"March 6, 2021 11:30:01 PM","BRR\kim (Since: Mar 5, 2021 8:11:59 AM)","March 6, 2021 4:00:59 AM",12.229.222.18/192.168.0.133;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Dell Inc.,Dell Inc. 0R790T ,OptiPlex 5040,2KHBRD2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz ,15.89 GB,Intel(R) HD Graphics 530,USB Audio Device,NVMe THNSN5256GPU7 NV SCSI Disk Device (238GB),HL-DT-ST DVD+-RW GU90N,Intel(R) Ethernet Connection (2) I219-V,C,F4:8E:38:9C:80:A7 (Primary),0,0,0,0,1,0,0,0,0,11
BRR104,BRR104,brr.local,"March 6, 2021 11:13:42 PM","BRR\Amber (Since: Mar 5, 2021 3:49:18 PM)","March 6, 2021 4:01:14 AM",12.229.222.18/192.168.0.156;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 1998 ,HP EliteDesk 800 G1 SFF,MXL3501BFP,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz ,7.89 GB,Intel(R) HD Graphics 4600,USB Audio Device,WDC WD5000AZRZ-00HTKB0 (465GB),hp DVDRAM GT80N,Intel(R) Ethernet Connection I217-LM,C,F0:92:1C:DC:10:02 (Primary),0,0,0,0,1,0,0,0,0,5
BRR105,BRR105,brr.local,"March 6, 2021 11:13:43 PM","BRR\Melissa (Since: Mar 5, 2021 9:01:28 AM)","March 6, 2021 4:01:53 AM",12.229.222.18/192.168.0.157;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,BV78XD2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,TOSHIBA DT01ACA050 SCSI Disk Device (465GB),PLDS DVD+-RW DU-8A5LH,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,18:66:DA:38:4A:7A (Primary)BC:14:EF:65:F1:E8 ,0,0,0,0,1,0,0,0,0,12
BRR107,BRR107,brr.local,"March 6, 2021 11:13:44 PM","BRR\monica (Since: Mar 5, 2021 8:45:26 AM)","March 6, 2021 4:01:45 AM",12.229.222.18/192.168.0.140;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,JJHVMD2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,USB Audio Device,ST500LM0 21-1KJ152 SCSI Disk Device (465GB),,Realtek PCIe GBE Family Controller,C,18:66:DA:42:B1:F8 (Primary),0,0,0,0,1,0,0,0,0,15
BRR108,BRR108,brr.local,"March 6, 2021 11:13:43 PM","BRR\janna (Since: Mar 5, 2021 10:41:44 AM)","March 6, 2021 4:01:08 AM",12.229.222.18/192.168.0.160;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Home & Business 2013, Build  15.0.5319.1000",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,BFK6JH2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,WDC WD5000LPLX-75ZNT SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,50:9A:4C:42:FC:80 (Primary),0,0,0,0,1,0,0,0,0,0
BRR109,BRR109,brr.local,"March 6, 2021 11:13:44 PM","BRR\Craig (Since: Mar 4, 2021 7:27:01 AM)","March 6, 2021 4:01:53 AM",12.229.222.18/192.168.0.165;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Home & Business 2013, Build  15.0.5319.1000",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,BFK2JH2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,USB Audio Device,WDC WD5000LPLX-75ZNT SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,50:9A:4C:42:FA:76 (Primary),0,0,0,0,1,0,0,0,0,12
BRR111,BRR111,brr.local,"March 6, 2021 11:13:42 PM","BRR\Claudia (Since: Mar 5, 2021 10:39:37 AM)","March 6, 2021 4:00:49 AM",12.229.222.18/192.168.0.161;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Home & Business 2013, Build  15.0.5319.1000",Sentinel Agent,HP,HP 82A2 ,HP ProDesk 400 G4 SFF,MXL74625QB,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,SanDisk SD8SB8U-256G-100 SCSI Disk Device (238GB),,Realtek PCIe GBE Family Controller,C,18:60:24:DE:38:F1 (Primary),0,0,0,0,1,0,0,0,0,0
BRR113,BRR113,brr.local,"March 6, 2021 11:13:45 PM","BRR\trisha (Since: Mar 4, 2021 8:21:13 AM)","March 6, 2021 4:00:46 AM",12.229.222.18/192.168.0.173;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA8061DCQ,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,15.88 GB,Intel(R) HD Graphics 530,HD Webcam C270,MTFDDAK2 56TBN-1AR1ZABHA SCSI Disk Device (238GB),hp HLDS DVDRW  GUD1N SCSI CdRom Device,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:E4:61:F1 (Primary),0,0,0,0,1,0,0,0,0,0
BRR114,BRR114,brr.local,"March 6, 2021 11:13:44 PM","BRR\angelica (Since: Mar 5, 2021 4:12:32 PM)","March 6, 2021 4:00:46 AM",12.229.222.18/192.168.0.149;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA8061DC8,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,15.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,MTFDDAK2 56TBN-1AR1ZABHA SCSI Disk Device (238GB),hp HLDS DVDRW  GUD1N SCSI CdRom Device,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:E4:5F:07 (Primary),0,0,0,0,1,0,0,0,0,0
BRR116,BRR116,brr.local,"March 6, 2021 11:13:45 PM","BRR\robert.connally (Since: Mar 5, 2021 8:55:41 AM)","March 6, 2021 4:00:54 AM",12.229.222.18/192.168.0.120;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 1998 ,HP EliteDesk 800 G1 SFF,MXL3501BFS,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz ,7.89 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,TOSHIBA DT01ACA050 (232GB),hp DVD A  DS8ACSH,Intel(R) Ethernet Connection I217-LM,C,F0:92:1C:DC:4E:0A (Primary),0,0,0,0,1,0,0,0,0,3
DORA-PC,DORA-PC,brr.local,"March 6, 2021 11:13:42 PM","BRR\kaley (Since: Mar 5, 2021 7:57:12 AM)","March 6, 2021 11:11:23 AM",12.229.222.18/192.168.0.127;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 18E4 ,HP EliteDesk 800 G1 TWR,MXL516100W,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz ,15.91 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,"SanDisk SD7SB3Q-256G-100 SCSI Disk Device (238GB),General USB Flash Disk USB Device (1GB)",hp DVD RAM UJ8E0 SCSI CdRom Device,Intel(R) Ethernet Connection I217-LM,C,8C:DC:D4:3C:89:B6 (Primary),0,0,0,0,1,0,0,0,0,0
BRR110,BRR110,brr.local,"March 6, 2021 11:13:42 PM","BRR\Mercury (Since: Feb 12, 2021 9:36:50 AM)","February 27, 2021 2:06:31 AM",12.229.222.18/192.168.0.170;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0XHGV1 ,OptiPlex 7050,G2VSFK2,Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz ,15.89 GB,Intel(R) HD Graphics 530,Realtek Audio,TOSHIBA DT01ACA200 (1863GB),PLDS DVD-ROM DU-8D5LH,Intel(R) Ethernet Connection (5) I219-LM,C,50:9A:4C:0A:5E:11 (Primary),0,0,1,0,1,0,0,0,0,1
BRR112,BRR112,brr.local,"March 6, 2021 11:13:46 PM","BRR\Dora (Since: Mar 4, 2021 9:24:01 AM)","March 6, 2021 4:00:47 AM",12.229.222.18/192.168.0.137;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 82A2 ,HP ProDesk 400 G4 SFF,MXL74715ND,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,15.9 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SanDisk SD8SB8U-256G-1006 (238GB),HL-DT-ST DVDRAM GP65NB60 USB Device,Realtek PCIe GBE Family Controller,C,18:60:24:DE:35:A4 (Primary),0,0,0,0,1,0,0,0,0,2
BRR115,BRR115,brr.local,"March 6, 2021 11:13:44 PM","BRR\jake (Since: Jan 27, 2021 2:48:47 PM)","March 6, 2021 4:00:46 AM",12.229.222.18/192.168.0.172;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA8061DCV,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,15.88 GB,Intel(R) HD Graphics 530,USB Audio Device,MTFDDAK256TBN-1AR1ZABHA (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:E4:62:18 (Primary),0,0,0,0,1,0,0,0,0,1
BRR119,BRR119,brr.local,"March 6, 2021 11:13:42 PM","BRR\carl (Since: Jan 12, 2021 11:02:14 AM)","March 6, 2021 4:00:46 AM",12.229.222.18/192.168.0.174;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,MXL8211MMJ,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:F8:25:25 (Primary),0,0,0,0,1,0,0,0,0,1
BRR120,BRR120,brr.local,"March 6, 2021 11:13:43 PM","BRR\sammie (Since: Mar 5, 2021 1:07:36 PM)","March 6, 2021 4:00:49 AM",12.229.222.18/192.168.0.177;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Home & Business 2013, Build  15.0.5319.1000",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,MXL8211MMC,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:F8:1F:67 (Primary),0,0,0,0,1,0,0,0,0,0
BRR118,BRR118,brr.local,"March 6, 2021 11:13:46 PM","BRR\eva (Since: Mar 4, 2021 8:00:52 AM)","March 6, 2021 4:00:46 AM",12.229.222.18/192.168.0.176;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,MXL8211MMM,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,HD Webcam C270,MTFDDAK256TBN-1AR1ZABHA (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:F8:22:74 (Primary),0,0,0,0,1,0,0,0,0,0
